oyster_identity,Crab_treatment
oyster.1_gape,control
oyster.2_gape,control
oyster.3_gape,control
oyster.4_gape,control
oyster.5_gape,control
oyster.6_gape,olfactory
oyster.7_gape,olfactory
oyster.8_gape,olfactory
oyster.9_gape,olfactory
oyster.10_gape,olfactory
oyster.11_gape,tactile
oyster.12_gape,tactile
oyster.13_gape,tactile
oyster.14_gape,tactile
oyster.15_gape,tactile
